Week	Day	Team1	Team2	B1	B2	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	Result	Patch	Notes	Link	Region
7	2	NME	GV	Nidalee,Sivir,Jarvan IV	Ryze,Kalista,Shen	Gragas	Irelia,Janna	Ahri,Kog'Maw	Maokai,Braum	Rek'Sai,Tristana	Azir	2	5.12		Tcubn6ET2uM	NA
7	2	C9	DIG	Annie,Alistar,Rek'Sai	Twisted Fate,Ryze,Fizz	Kalista	Maokai,Karma	Rengar,Orianna	Sivir,Nautilus,Sivir	Jarvan IV,Lee Sin	Diana	1	5.12		ununEVcQStI	NA
7	2	TSM	TL	Olaf,Kalista,Alistar	Ryze,Sivir,Nidalee	Gragas	Maokai,Shen	Orianna,Jinx	Nautilus,Azir	Rek'Sai,Corki	Annie	2	5.12		kj9Boyx2V1o	NA
7	2	TIP	T8	Azir,Kalista,Rek'Sai	Nidalee,Sivir,Yasuo	Ryze	Corki,Alistar	Lee Sin,Ahri	Twisted Fate,Shen	Gragas,Jinx	Nautilus	1	5.12		GIjcDuMytK0	NA
7	2	CLG	TDK	Sivir,Vladimir,Diana	Ryze,Annie,Kalista	Nautilus	Tristana,Janna	Fizz,Twisted Fate	Evelynn,Alistar	Maokai,Vayne	Ahri	1	5.12		CT79geK10lk	NA
8	1	C9	NME	Nidalee,Gragas,Rek'Sai	Ryze,Azir,Orianna	Kalista	Rumble,Braum	Shyvana,Ahri	Maokai,Alistar	Evelynn,Corki	Master Yi	1	5.13	Tahm Kench Disabled for Week 8	qKY12aBRfg0	NA
8	1	TIP	TSM	Azir,Rek'Sai,Kalista	Ryze,Sivir,Alistar	Nidalee	Maokai,Janna	Orianna,Kog'Maw	Shen,Corki	Gragas,Annie	Twisted Fate	1	5.13	Tahm Kench Disabled for Week 8	5ckzXjydOSo	NA
8	1	CLG	TL	Azir,Annie,Nidalee	Ryze,Sivir,Kalista	Gragas	Alistar,Tristana	Fizz,Ezreal	Corki,Janna	Rek'Sai,Viktor	Hecarim	1	5.13	Tahm Kench Disabled for Week 8	21k_bxgXgKo	NA
8	1	GV	DIG	Azir,Kalista,Twisted Fate	Nidalee,Sivir,Ryze	Shen	Tristana,Braum	Vi,Rumble	Rek'Sai,Corki	Gnar,Thresh	Ahri	2	5.13	Tahm Kench Disabled for Week 8	kAF-3a3pa2k	NA
8	1	TDK	T8	Annie,Kalista,Sivir	Vladimir,Ryze,Nidalee	Rumble	Tristana,Braum	Evelynn,Jayce	Gragas,Alistar	Maokai,Corki	Varus	2	5.13	Tahm Kench Disabled for Week 8	DaEV0GlWjF4	NA
8	2	TL	NME	Nidalee,Shen,Alistar	Azir,Annie,Ryze	Kalista	Maokai,Rek'Sai	Twisted Fate,Janna	Gragas,Nautilus	Fizz,Sivir	Yasuo	1	5.13	Tahm Kench Disabled for Week 8	6l-bVZ4kKBI	NA
8	2	C9	CLG	Alistar,Fizz,Tristana	Ryze,Rumble,Braum	Kalista	Maokai,Karma	Nidalee,Orianna	Gragas,Janna	Azir,Sivir	Kennen	2	5.13	Tahm Kench Disabled for Week 8	G77HN_ve3pc	NA
8	2	DIG	TSM	Azir,Kalista,Alistar	Ryze,Sivir,Fizz	Rek'Sai	Rumble,Thresh	Viktor,Jinx	Maokai,Janna	Gragas,Tristana	Kog'Maw	2	5.13	Tahm Kench Disabled for Week 8	VX4Y1UEjASE	NA
