Week	Day	Team	Player	Role	Champ	Kills	Deaths	Assists	Region	W	L
2	2	CW	Soren	Mid	Azir	0	0	1	EU	0	1
2	2	CW	Freeze	ADC	Ashe	0	3	1	EU	0	1
2	2	CW	Unlimited	Support	Morgana	0	5	1	EU	0	1
2	2	GIA	Werlyb	Top	Jax	8	1	1	EU	1	0
2	2	GIA	Fr3deric	Jungle	Evelynn	3	1	5	EU	1	0
2	2	GIA	PePiiNeRo	Mid	Kog'Maw	2	1	10	EU	1	0
2	2	GIA	Adryh	ADC	Ezreal	4	3	8	EU	1	0
2	2	GIA	GoDFRED	Support	Morgana	0	2	10	EU	1	0
2	2	ROC	Steve	Top	Maokai	2	5	10	EU	0	1
2	2	ROC	Jankos	Jungle	Rek'Sai	4	1	2	EU	0	1
2	2	ROC	Nukeduck	Mid	LeBlanc	7	3	5	EU	0	1
2	2	ROC	Woolite	ADC	Lucian	7	4	7	EU	0	1
2	2	ROC	Vander	Support	Thresh	1	4	11	EU	0	1
2	2	EL	Jwaow	Top	Gnar	0	4	1	EU	0	1
2	2	EL	Dexter	Jungle	Gragas	1	4	4	EU	0	1
2	2	EL	Froggen	Mid	Kassadin	2	1	1	EU	0	1
2	2	EL	Tabzz	ADC	Lucian	1	3	3	EU	0	1
2	2	EL	promisQ	Support	Janna	1	4	3	EU	0	1
3	1	FNC	Huni	Top	Hecarim	9	3	8	EU	1	0
3	1	FNC	Reignover	Jungle	Rek'Sai	2	2	11	EU	1	0
3	1	FNC	Febiven	Mid	Azir	3	1	9	EU	1	0
3	1	FNC	Rekkles	ADC	Kalista	7	1	9	EU	1	0
3	1	FNC	YellOwStaR	Support	Morgana	0	2	18	EU	1	0
3	1	OG	Soaz	Top	Fizz	6	1	9	EU	1	0
3	1	OG	Amazing	Jungle	Gragas	5	1	15	EU	1	0
3	1	OG	xPeke	Mid	Orianna	4	1	13	EU	1	0
3	1	OG	Niels	ADC	Sivir	6	0	10	EU	1	0
3	1	OG	Mithy	Support	Nautilus	1	1	15	EU	1	0
3	1	H2K	Odoamne	Top	Rumble	6	8	11	EU	1	0
3	1	H2K	Loulex	Jungle	Gragas	3	3	11	EU	1	0
3	1	H2K	Ryu	Mid	Twisted Fate	3	2	17	EU	1	0
3	1	H2K	Hjarnan	ADC	Sivir	13	0	12	EU	1	0
3	1	H2K	kaSing	Support	Annie	1	4	21	EU	1	0
3	1	UOL	Vizicsacsi	Top	Ryze	1	5	3	EU	0	1
3	1	UOL	Kikis	Jungle	Rek'Sai	0	3	2	EU	0	1
3	1	UOL	PowerOfEvil	Mid	Cassiopeia	1	4	1	EU	0	1
3	1	UOL	Vardags	ADC	Kalista	2	6	0	EU	0	1
3	1	UOL	Hylissang	Support	Thresh	0	4	2	EU	0	1
3	1	GMB	Cabochard	Top	Gragas	5	2	6	EU	1	0
3	1	GMB	Diamond	Jungle	Rek'Sai	1	2	5	EU	1	0
3	1	GMB	Betsy	Mid	Azir	5	1	3	EU	1	0
3	1	GMB	Forg1ven	ADC	Corki	3	1	2	EU	1	0
3	1	GMB	Gosu Pepper	Support	Nautilus	1	2	3	EU	1	0
3	1	SK	Fredy122	Top	Dr.Mundo	3	5	4	EU	0	1
3	1	SK	Svenskeren	Jungle	Rek'Sai	4	5	8	EU	0	1
3	1	SK	Fox	Mid	Viktor	6	4	3	EU	0	1
3	1	SK	CandyPanda	ADC	Vayne	3	9	4	EU	0	1
3	1	SK	nRated	Support	Janna	0	3	10	EU	0	1
3	1	CW	YoungBuck	Top	Rumble	2	5	0	EU	0	1
3	1	CW	Airwaks	Jungle	Ekko	3	2	3	EU	0	1
3	1	CW	Soren	Mid	Kog'Maw	1	2	1	EU	0	1
3	1	CW	Freeze	ADC	Lucian	2	2	3	EU	0	1
3	1	CW	Unlimited	Support	Alistar	0	4	4	EU	0	1
3	1	GIA	Werlyb	Top	Jax	3	0	7	EU	1	0
3	1	GIA	Fr3deric	Jungle	Evelynn	1	3	5	EU	1	0
3	1	GIA	PePiiNeRo	Mid	Varus	4	0	6	EU	1	0
3	1	GIA	Adryh	ADC	Ezreal	6	1	7	EU	1	0
3	1	GIA	GoDFRED	Support	Morgana	1	4	11	EU	1	0
3	1	ROC	Steve	Top	Rumble	2	4	3	EU	0	1
3	1	ROC	Jankos	Jungle	Lee Sin	4	2	1	EU	0	1
3	1	ROC	Nukeduck	Mid	Azir	0	1	4	EU	0	1
3	1	ROC	Woolite	ADC	Kog'Maw	2	3	2	EU	0	1
3	1	ROC	Vander	Support	Alistar	0	5	5	EU	0	1
3	1	EL	Jwaow	Top	Fizz	0	6	3	EU	0	1
3	1	EL	Dexter	Jungle	Gragas	1	4	6	EU	0	1
3	1	EL	Froggen	Mid	Ekko	4	1	4	EU	0	1
3	1	EL	Tabzz	ADC	Vayne	2	5	2	EU	0	1
3	1	EL	promisQ	Support	Bard	2	5	5	EU	0	1
3	2	FNC	Huni	Top	Ekko	7	1	7	EU	1	0
3	2	FNC	Reignover	Jungle	Rek'Sai	6	1	5	EU	1	0
3	2	FNC	Febiven	Mid	LeBlanc	3	1	10	EU	1	0
3	2	FNC	Rekkles	ADC	Sivir	2	1	5	EU	1	0
3	2	FNC	YellOwStaR	Support	Leona	1	0	8	EU	1	0
3	2	OG	Soaz	Top	Fizz	1	2	2	EU	0	1
3	2	OG	Amazing	Jungle	Evelynn	0	4	4	EU	0	1
3	2	OG	xPeke	Mid	Vladimir	2	4	1	EU	0	1
3	2	OG	Niels	ADC	Lucian	1	3	2	EU	0	1
3	2	OG	Mithy	Support	Alistar	1	4	1	EU	0	1
3	2	H2K	Odoamne	Top	Rumble	6	4	9	EU	1	0
3	2	H2K	Loulex	Jungle	Gragas	2	2	13	EU	1	0
3	2	H2K	Ryu	Mid	Lulu	8	2	11	EU	1	0
3	2	H2K	Hjarnan	ADC	Jinx	4	0	12	EU	1	0
3	2	H2K	kaSing	Support	Thresh	2	0	14	EU	1	0
3	2	UOL	Vizicsacsi	Top	Maokai	2	4	5	EU	0	1
3	2	UOL	Kikis	Jungle	Ekko	1	4	5	EU	0	1
3	2	UOL	PowerOfEvil	Mid	Orianna	2	3	4	EU	0	1
3	2	UOL	Vardags	ADC	Sivir	1	3	1	EU	0	1
3	2	UOL	Hylissang	Support	Annie	2	6	3	EU	0	1
3	2	GMB	Cabochard	Top	Hecarim	8	1	5	EU	1	0
3	2	GMB	Diamond	Jungle	Rek'Sai	3	4	9	EU	1	0
3	2	GMB	Betsy	Mid	Lulu	3	0	10	EU	1	0
3	2	GMB	Forg1ven	ADC	Corki	3	0	8	EU	1	0
3	2	GMB	Gosu Pepper	Support	Taric	0	4	10	EU	1	0
3	2	SK	Fredy122	Top	Shyvana	3	5	2	EU	0	1
3	2	SK	Svenskeren	Jungle	Gragas	2	4	7	EU	0	1
3	2	SK	Fox	Mid	Vladimir	2	1	1	EU	0	1
3	2	SK	CandyPanda	ADC	Kalista	1	2	5	EU	0	1
3	2	SK	nRated	Support	Alistar	1	5	7	EU	0	1
3	2	CW	YoungBuck	Top	Vladimir	3	1	4	EU	1	0
3	2	CW	Airwaks	Jungle	Rek'Sai	1	1	8	EU	1	0
3	2	CW	Soren	Mid	Azir	2	1	3	EU	1	0
3	2	CW	Freeze	ADC	Kalista	5	0	5	EU	1	0
3	2	CW	Unlimited	Support	Morgana	0	2	8	EU	1	0
3	2	GIA	Werlyb	Top	Renekton	0	2	0	EU	0	1
3	2	GIA	Fr3deric	Jungle	Gragas	1	7	0	EU	0	1
